Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-07-08,162.350006,163.380005,161.839996,162.300003,162.300003,4584100,99
2022-07-11,161.929993,162.440002,161.380005,161.429993,161.429993,4321700,100
2022-07-12,161.220001,161.619995,160.720001,160.830002,160.830002,5375100,101
2022-07-13,160.100006,162.710007,160.059998,161.600006,161.600006,8456600,102
2022-07-14,159.020004,159.830002,158.220001,159.330002,159.330002,12213600,103
2022-07-15,159.009995,159.25,158.350006,159.009995,159.009995,6783800,104
2022-07-18,160.080002,160.429993,159.050003,159.160004,159.160004,5791800,105
2022-07-19,159.470001,159.869995,159.330002,159.539993,159.539993,3796200,106
2022-07-20,159.710007,159.820007,158.029999,158.039993,158.039993,4795800,107
2022-07-21,158.309998,160.309998,158.270004,160.270004,160.270004,5863300,108
2022-07-22,160.550003,162.130005,160.350006,160.669998,160.669998,5733800,109
2022-07-25,160.639999,160.699997,159.809998,160.229996,160.229996,3713400,110
2022-07-26,160.229996,160.5,159.789993,160.039993,160.039993,2672800,111
2022-07-27,160.020004,162.210007,159.509995,161.669998,161.669998,5766100,112
2022-07-28,163.309998,163.759995,162.880005,163.639999,163.639999,5606400,113
2022-07-29,163.889999,164.690002,163.279999,164.100006,164.100006,7537300,114
2022-08-01,164.979996,165.410004,164.410004,165.029999,165.029999,4666900,115
2022-08-02,165.660004,166.460007,164.020004,164.050003,164.050003,5725400,116
2022-08-03,164.770004,164.910004,163.479996,164.449997,164.449997,4417800,117
2022-08-04,165.529999,167.309998,165.339996,167.169998,167.169998,5502000,118
2022-08-05,164.990005,165.839996,164.869995,165.289993,165.289993,6023300,119
2022-08-08,166.029999,166.809998,165.929993,166.690002,166.690002,3456300,120
2022-08-09,167.479996,167.800003,166.820007,167.199997,167.199997,3205500,121
2022-08-10,167.389999,167.979996,166.619995,166.779999,166.779999,4077300,122
2022-08-11,167.160004,167.660004,166.309998,166.339996,166.339996,4446000,123
2022-08-12,167.169998,167.940002,166.830002,167.869995,167.869995,5151700,124
2022-08-15,165.990005,166.25,165.440002,165.710007,165.710007,5236100,125
2022-08-16,165.309998,165.720001,165.179993,165.419998,165.419998,4291500,126
2022-08-17,165.210007,165.229996,163.949997,164.350006,164.350006,5569100,127
2022-08-18,164.600006,164.910004,163.539993,163.919998,163.919998,3646100,128
2022-08-19,163.649994,163.740005,162.619995,162.720001,162.720001,8173000,129
2022-08-22,161.660004,162.119995,161.360001,161.639999,161.639999,4458100,130
2022-08-23,161.960007,163.429993,161.910004,162.770004,162.770004,4425100,131
2022-08-24,162.440002,163.610001,162.369995,163.25,163.25,3202400,132
2022-08-25,163.970001,163.990005,163.240005,163.75,163.75,2857500,133
